IATA,ICAO,Airline,Country/Region
ZY,SHY,Sky Airlines,Turkey
ZX,ABL,Air BC,Canada
ZX,GGN,Air Georgian,Canada
ZW,AWI,Air Wisconsin,United States
ZU,HCY,Helios Airways,Cyprus
ZT,AWC,Titan Airways,United Kingdom
ZS,AZI,Azzurra Air,Italy
ZS,SMY,Sama Airlines,Saudi Arabia
ZQ,MNE,Air Montenegro,Montenegro
ZP,AZP,Amaszonas Paraguay,Paraguay
ZP,AZQ,Silk Way Airlines,Azerbaijan
ZN,KEY,Key Airlines,United States
ZL,RXA,Regional Express,Australia
ZK,GLA,Great Lakes Airlines,United States
ZI,AAF,Aigle Azur,France
ZH,CSZ,Shenzhen Airlines,China
ZG,VVM,Viva Macau,Macao
ZG,TZP,Zipair Tokyo,Japan
ZE,AZE,Arcus-Air Logistic,Germany
ZE,ESR,Eastar Jet,South Korea
ZE,LCD,Líneas Aéreas Azteca,Mexico
ZD,EWR,Ewa Air,France
ZB,ABN,Air Albania,Albania
ZB,BUB,Air Bourbon,Reunion
ZB,MON,Monarch Airlines,United Kingdom
ZA,CYD,AccessAir,United States
ZA,SUW,Interavia Airlines,Russia
Z9,MYM,MYAirline,Malaysia
Z8,AZN,Línea Aérea Amaszonas,Bolivia
Z7,ADK,ADC Airlines,Nigeria
Z6,UDN,Dniproavia,Ukraine
Z5,GMG,GMG Airlines,Bangladesh
Z4,OOM,Zoom Airlines,Canada
Z3,SMJ,Avient Aviation,Zimbabwe
Z2,EZD,Philippines AirAsia,Philippines
YX,MEP,Midwest Airlines,United States
YW,ANE,Air Nostrum,Spain
YV,ASH,Mesa Airlines,United States
YU,ADM,Dominair,Dominican Republic
YT,TGA,Air Togo,Togo
YT,NYT,Yeti Airlines,Nepal
YS,RAE,Régional,France
YQ,LCT,TAR Aerolineas,Mexico
YP,APZ,Air Premia,South Korea
YM,MGX,Montenegro Airlines,Montenegro
YL,LWA,Libyan Wings,Libya
YL,LLM,Yamal Airlines,Russia
YK,KYV,Cyprus Turkish Airlines,Turkey
YJ,AMV,AMC Airlines,Egypt
YI,RSI,Air Sunshine,United States
YH,WCW,West Caribbean Airways,Colombia
YE,ACQ,Aryan Cargo Express,India
YD,CAT,Cologne Air Transport GmbH,Germany
YB,BRJ,Borajet,Turkey
Y9,IRK,Kish Air,Iran
Y9,DAT,Lynx Air,Canada
Y8,YZR,Suparna Airlines,China
Y7,TYA,NordStar,Russia
Y6,BTV,Batavia Air,Indonesia
Y5,GMR,Golden Myanmar Airlines,Myanmar
Y5,PCE,Pace Airlines,United States
Y4,VOI,Volaris,Mexico
Y2,AFJ,Alliance Air,Uganda
Y2,GSM,Flyglobespan,United Kingdom
Y0,EMJ,Yellow Air Taxi/Friendship Airways,United States
XY,KNE,Flynas,Saudi Arabia
XW,NCT,NokScoot,Thailand
XV,MVA,Mississippi Valley Airlines,United States
XT,AXL,Air Exel,Netherlands
XT,SKT,SkyStar Airways,Thailand
XS,SIT,SITA,Belgium
XQ,SXS,SunExpress,Turkey
XP,VXP,Avelo Airlines,United States
XO,CXH,China Xinhua Airlines,China
XO,LTE,LTE International Airways,Spain
XN,XAR,XpressAir,Indonesia
XM,XME,Australian airExpress,Australia
XM,,J-Air,Japan
XL,LNE,Aerolane,Ecuador
XK,CCM,Air Corsica,France
XK,CCM,Corse Méditerranée,France
XJ,MES,Mesaba Airlines,United States
XJ,TAX,Thai AirAsia X,Thailand
XG,CLI,Clickair,Spain
XG,SXD,Sunexpress Deutschland,Germany
XF,VLK,Vladivostok Air,Russia
XE,JSX,JSX (airline),United States
XC,CAI,Corendon Airlines,Turkey
X9,KHO,Khors Aircompany,Ukraine
KO,,,
X9,NVD,Avion Express,Lithuania
X7,CHF,Chitaavia,Russia
X3,HLX,Hapag-Lloyd Express,Germany
X3,TUI,TUI fly Deutschland,Germany
WZ,WSF,West African Airlines,Benin
WY,OMA,Oman Air,Oman
WX,BCY,CityJet,Ireland
WX,BCY,CityJet,Ireland
WW,BMI,Bmibaby,United Kingdom
WW,WOW,WOW air,Iceland
WV,SWV,Swe Fly,Sweden
WT,WSG,Wasaya Airways,Canada
WS,WJA,WestJet,Canada
WR,HRH,Royal Tongan Airlines,Tonga
WR,WEN,WestJet Encore,Canada
WQ,SWQ,Swift Air (Interstate Equipment Leasing),United States
WP,ATW,Air Antwerp,Belgium
WO,WSW,Swoop,Canada
WO,WOA,World Airways,United States
WN,SWA,Southwest Airlines,United States
WK,AFB,American Falcon,Argentina
WK,EDW,Edelweiss Air,Switzerland
WJ,JES,JetSMART Argentina,Argentina
WI,WIL,Aero Air,United States
WH,CNW,China Northwest Airlines,China
WH,WEB,WebJet Linhas Aéreas,Brazil
WG,SWG,Sunwing Airlines,Canada
WF,WIF,Widerøe,Norway
WE,CWC,Centurion Air Cargo,United States
WE,THD,Thai Smile Airways,Thailand
WD,AAN,Amsterdam Airlines,Netherlands
WD,DSR,DAS Air Cargo,Uganda
WD,MWM,Modern Transporte Aereo De Carga,Brazil
WD,WDL,WDL Aviation,Germany
WC,ISV,Islena De Inversiones,Honduras
WC,WAA,Wien Air Alaska,United States
WB,RWD,Rwandair Express,Rwanda
WA,KLC,KLM Cityhopper,Netherlands
WA,WAL,Western Airlines,United States
WA,KLC,KLM Cityhopper,the Netherlands
W9,AAB,Abelag Aviation,Belgium
W9,JAB,Air Bagan,Myanmar
W9,SGR,Eastwind Airlines,United States
W9,WUK,Wizz Air UK,United Kingdom
W8,CJT,Cargojet Airways,Canada
